G6000|ἀγγέλλω|angellō|to report
G6001|ἄγγος|angos|vessel
G6002|Ἀδμίν|Admin|Admin
G6003|ἀθροίζω|athroizō|to gather
G6004|ἀλλαχοῦ|allachou|elsewhere
G6005|ἀμφιέζω|amphiezō|to dress
G6006|ἀμφιβάλλω|amphiballō|to cast
G6007|ἄμωμον|amōmon|amomum
G6008|ἀναπηδάω|anapēdaō|to jump up
G6011|βελόνη|belonē|needle
G6013|γένημα|genēma|produce
G6014|δεκαοκτώ|dekaoktō|eighteen
G6015|δέος|deos|fear
G6016|διακαθαίρω|diakathairō|to scour
G6017|διαχλευάζω|diachleuazō|to deride
G6018|διενθυμέομαι|dienthumeomai|to ponder
G6019|δισμυριάς|dismurias|two-myriad
G6020|δοκιμασία|dokimasia|examination
G6022|δυσφημέω|dusphēmeō|to defame
G6023|ἐγκακέω|egkakeō|be discouraged
G6025|εἵνεκεν|ehineken|because
G6027|ἐκζήτησις|ekzētēsis|speculation
G6028|ἐκθαυμάζω|ekthaumazō|be amazed
G6029|ἐκπερισσῶς|ekperissōs|overexcessively
G6030|ἐκπηδάω|ekpēdaō|to rush out
G6031|ἐλεγμός|elegmos|rebuke
G6032|ἐμπαιγμονή|empaigmonē|derision
G6033|ἔνθεν|enthen|hence
G6034|ἐνορκίζομαι|enorkizomai|to adjure
G6035|ἐπάρατος|eparatos|accursed
G6036|ἐπεισέρχομαι|epeiserchomai|to enter
G6037|ἐπισπείρω|epispeirō|to sow above
G6039|εὐθύμως|euthumōs|cheerfully
G6041|ζηλεύω|zēleuō|to envy
G6043|Ἰωδά|Iōda|Joda
G6044|Ἰωσήχ|Iōsēch|Josech
G6045|καθώσπερ|kathōsper|as
G6046|καταβαρύνω|katabarunō|to burden
G6047|καταγράφω|katagraphō|to delineate
G6048|καταδίκη|katadikē|judgment
G6049|κατακύπτω|katakuptō|to stoop down
G6050|κατευλογέω|kateulogeō|to bless
G6051|κατήγωρ|katēgōr|an accuser
G6052|κατοικίζω|katoikizō|to settle
G6053|κατωτέρω|katōterō|lower
G6055|κλινάριον|klinarion|a cot
G6058|κρυφαῖος|kruphaios|hidden
G6059|κυκλεύω|kukleuō|to encompass
G6060|μετατρέπω|metatrepō|to turn around
G6061|μύλινος|mulinos|mill
G6063|οἶδα|oida|to know
G6064|οἰκετεία|oiketeia|household
G6065|οἰκοδόμος|oikodomos|builder
G6066|ὀλιγοπιστία|oligopistia|little faith
G6067|ὀλίγως|oligōs|scarcely
G6068|ὀμίχλη|omichlē|fog
G6069|πανταχῆ|pantachē|everywhere
G6070|παρεμβάλλω|paremballō|to encamp
G6071|περαιτέρω|peraiterō|further
G6072|περιάπτω|periaptō|to touch
G6073|πραϋπαθία|praupathia|gentleness
G6074|προπάτωρ|propatōr|ancestor
G6075|προσαίτης|prosaitēs|a beggar
G6076|προσκλίνω|prosklinō|to lean toward
G6077|Πύρρος|Purros|Pyrrhus
G6078|πρώτως|prōtōs|originally
G6079|σιτίον|sition|food
G6080|συγγενίς|sungenis|relative
G6081|συμπίπτω|sumpiptō|be downcast
G6083|σύνοιδα|sunoida|be conscious of
G6084|Τιτίος|Titios|Titius
G6085|τρῆμα|trēma|hole
G6087|ὑπερεκπερισσοῦ|huperekperissou|super overexcessively
G6088|ὑπερλίαν|huperlian|greatly
G6090|ὠτάριον|ōtarion|ear
G6091|δύσις|dusis|sunset
G6092|ἐκβαίνω|ekbainō|to go out
G6093|σιρός|siros|pit
G6094|αὐχέω|aucheō|to boast
G6095|Ἀρνὶ|Arni|Arni
